TOKO;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOVEMBER;DESEMBER
IW ARIFIN;;;;;;;;;;;;
TUNAS JAYA;;;;;;;;;;;;
AL FATIH;;;;;;;;;;;;
BUTIK WARNA;;;;;;;;;;;;
IW PASIR;;;;;;;;;;;;
IW UJUNG BATU;;;;;;;;;;;;
IW PAYAKUMBUH;;;;;;;;;;;;
IW HARAPAN RAYA;;;;;;;;;;;;
